Search__ID,Source_Search_Type,Search_Type,PMID,PUB_YEAR,PROJECT_NUMBER,FY_Start,FY_Last,APY,ACTUAL_PROJECT_YEAR,APY_COST_inf2018,Activity_Code,Institute_Code,Acronym_institute_name,full_institute_name,Compressed Names,Project_Count,Grant_Type_Name
abiraterone acetate,Drug,Drug,27119752.0,2016.0,P01CA163227,2013.0,2021.0,2016.0,2016P01CA163227,2238400.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,26032458.0,2015.0,P01CA163227,2013.0,2021.0,2015.0,2015P01CA163227,2307177.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,25514466.0,2015.0,P01CA163227,2013.0,2021.0,2015.0,2015P01CA163227,2307177.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Drug,25514466.0,2015.0,P01CA163227,2013.0,2021.0,2015.0,2015P01CA163227,2307177.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Drug,25320358.0,2015.0,P01CA163227,2013.0,2021.0,2015.0,2015P01CA163227,2307177.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,25311217.0,2014.0,P01CA163227,2013.0,2021.0,2014.0,2014P01CA163227,2262361.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Drug,24874833.0,2014.0,P01CA163227,2013.0,2021.0,2014.0,2014P01CA163227,2262361.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Drug,24449822.0,2014.0,P01CA163227,2013.0,2021.0,2014.0,2014P01CA163227,2262361.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Drug,24323034.0,2014.0,P01CA163227,2013.0,2021.0,2014.0,2014P01CA163227,2262361.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,12602902.0,2003.0,P01CA080111,1999.0,2018.0,2003.0,2003P01CA080111,3143488.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,26965516.0,2016.0,P01CA087969,2000.0,2019.0,2016.0,2016P01CA087969,2611855.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,12602902.0,2003.0,P01CA087969,2000.0,2019.0,2003.0,2003P01CA087969,8333166.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,1.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,11358812.0,2001.0,P01CA087969,2000.0,2019.0,2001.0,2001P01CA087969,7438641.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,19887483.0,2009.0,P01CA089021,2001.0,2011.0,2009.0,2009P01CA089021,2841870.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,24323034.0,2014.0,P01CA085859,2002.0,2013.0,2013.0,2013P01CA085859,2253641.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,26414697.0,2016.0,P01CA091955,2002.0,2019.0,2016.0,2016P01CA091955,1439436.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,20233842.0,2010.0,P01CA090890,2003.0,2014.0,2010.0,2010P01CA090890,1753209.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,18438175.0,2008.0,P01CA108964,2005.0,2009.0,2008.0,2008P01CA108964,3737158.0,P01,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,10611306.0,1999.0,P01AG008321,1999.0,2002.0,1999.0,1999P01AG008321,0.0,P01,AG,NIA,National Institute on Aging,National Institute on Aging,1.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,14694190.0,2004.0,P01AG016765,1999.0,2016.0,2004.0,2004P01AG016765,585363.0,P01,AG,NIA,National Institute on Aging,National Institute on Aging,1.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,12538606.0,2003.0,P01ES006198,1999.0,2003.0,2003.0,2003P01ES006198,1582100.0,P01,ES,NIEHS,National Institute of Environmental Health Sciences,National Institute of Environmental Health Sciences,1.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,12493720.0,2003.0,P01ES006198,1999.0,2003.0,2003.0,2003P01ES006198,1582100.0,P01,ES,NIEHS,National Institute of Environmental Health Sciences,National Institute of Environmental Health Sciences,1.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,12464252.0,2003.0,P01GM047969,1999.0,2011.0,2003.0,2003P01GM047969,2817706.0,P01,GM,NIGMS,National Institute of General Medical Sciences,National Institute of General Medical Sciences,1.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,10852468.0,2000.0,P01HD006274,1999.0,2006.0,2000.0,2000P01HD006274,2683656.0,P01,HD,NICHD,National Institute of Child Health and Human Development,National Institute of Child Health and Human Development,2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,19497978.0,2009.0,P01HD011149,1999.0,2015.0,2009.0,2009P01HD011149,1958922.0,P01,HD,NICHD,National Institute of Child Health and Human Development,National Institute of Child Health and Human Development,2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,17945481.0,2008.0,P01HD011149,1999.0,2015.0,2008.0,2008P01HD011149,1944820.0,P01,HD,NICHD,National Institute of Child Health and Human Development,National Institute of Child Health and Human Development,2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,15494460.0,2005.0,P01HD011149,1999.0,2015.0,2005.0,2005P01HD011149,2465072.0,P01,HD,NICHD,National Institute of Child Health and Human Development,National Institute of Child Health and Human Development,2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,12208674.0,2002.0,P01HD011149,1999.0,2015.0,2002.0,2002P01HD011149,3043885.0,P01,HD,NICHD,National Institute of Child Health and Human Development,National Institute of Child Health and Human Development,3.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,9916024.0,1999.0,P01HD013527,1999.0,2008.0,1999.0,1999P01HD013527,0.0,P01,HD,NICHD,National Institute of Child Health and Human Development,National Institute of Child Health and Human Development,1.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,10329880.0,1999.0,P01HD021350,1999.0,2018.0,1999.0,1999P01HD021350,0.0,P01,HD,NICHD,National Institute of Child Health and Human Development,National Institute of Child Health and Human Development,1.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,19799966.0,2010.0,P01HD021921,1999.0,2013.0,2010.0,2010P01HD021921,1738012.0,P01,HD,NICHD,National Institute of Child Health and Human Development,National Institute of Child Health and Human Development,2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,19525401.0,2009.0,P01HD031226,1999.0,2014.0,2009.0,2009P01HD031226,2077060.0,P01,HD,NICHD,National Institute of Child Health and Human Development,National Institute of Child Health and Human Development,2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,16099825.0,2005.0,P01HD031226,1999.0,2014.0,2005.0,2005P01HD031226,2578256.0,P01,HD,NICHD,National Institute of Child Health and Human Development,National Institute of Child Health and Human Development,2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,22057025.0,2012.0,P01HD035897,1999.0,2014.0,2012.0,2012P01HD035897,2074830.0,P01,HD,NICHD,National Institute of Child Health and Human Development,National Institute of Child Health and Human Development,3.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,12970278.0,2003.0,P01HD038490,2000.0,2004.0,2003.0,2003P01HD038490,1497676.0,P01,HD,NICHD,National Institute of Child Health and Human Development,National Institute of Child Health and Human Development,1.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,24262325.0,2014.0,P01HL076491,2004.0,2019.0,2014.0,2014P01HL076491,2020405.0,P01,HL,NHLBI,"National Heart, Lung, and Blood Institute","National Heart, Lung, and Blood Institute",2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,24262325.0,2014.0,P01HL087018,2007.0,2011.0,2011.0,2011P01HL087018,2842142.0,P01,HL,NHLBI,"National Heart, Lung, and Blood Institute","National Heart, Lung, and Blood Institute",2.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,23303523.0,2013.0,P01HL088117,2008.0,2013.0,2013.0,2013P01HL088117,2674899.0,P01,HL,NHLBI,"National Heart, Lung, and Blood Institute","National Heart, Lung, and Blood Institute",1.0,Research Program Projects and Centers
CYP17A1,target,Target_Only,24262325.0,2014.0,P01HL098055,2010.0,2014.0,2014.0,2014P01HL098055,3223198.0,P01,HL,NHLBI,"National Heart, Lung, and Blood Institute","National Heart, Lung, and Blood Institute",3.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,29882250.0,2018.0,P30CA006516,1999.0,2021.0,2018.0,2018P30CA006516,12710222.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,9.0,Research Program Projects and Centers
CYP17A1,target,Drug,29882250.0,2018.0,P30CA006516,1999.0,2021.0,2018.0,2018P30CA006516,12710222.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,9.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,27489290.0,2017.0,P30CA006516,1999.0,2021.0,2017.0,2017P30CA006516,12572620.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
CYP17A1,target,Drug,27489290.0,2017.0,P30CA006516,1999.0,2021.0,2017.0,2017P30CA006516,12572620.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,32989253.0,2020.0,P30CA006973,1999.0,2021.0,2020.0,2020P30CA006973,7360142.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,31972048.0,2020.0,P30CA006973,1999.0,2021.0,2020.0,2020P30CA006973,7360142.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,29988102.0,2018.0,P30CA006973,1999.0,2021.0,2018.0,2018P30CA006973,7328078.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,28762529.0,2017.0,P30CA006973,1999.0,2021.0,2017.0,2017P30CA006973,7664829.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,27628492.0,2016.0,P30CA006973,1999.0,2021.0,2016.0,2016P30CA006973,7984055.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
CYP17A1,target,Drug,27628492.0,2016.0,P30CA006973,1999.0,2021.0,2016.0,2016P30CA006973,7984055.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,24482578.0,2013.0,P30CA006973,1999.0,2021.0,2013.0,2013P30CA006973,7708211.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4.0,Research Program Projects and Centers
CYP17A1,target,Drug,23775398.0,2013.0,P30CA006973,1999.0,2021.0,2013.0,2013P30CA006973,7708211.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,24338986.0,2014.0,P30CA006973,1999.0,2021.0,2014.0,2014P30CA006973,8083066.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,24276248.0,2014.0,P30CA006973,1999.0,2021.0,2014.0,2014P30CA006973,8083066.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,24157242.0,2014.0,P30CA006973,1999.0,2021.0,2014.0,2014P30CA006973,8083066.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4.0,Research Program Projects and Centers
CYP17A1,target,Drug,24157242.0,2014.0,P30CA006973,1999.0,2021.0,2014.0,2014P30CA006973,8083066.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,23142060.0,2012.0,P30CA006973,1999.0,2021.0,2012.0,2012P30CA006973,8517117.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4.0,Research Program Projects and Centers
CYP17A1,target,Drug,23142060.0,2012.0,P30CA006973,1999.0,2021.0,2012.0,2012P30CA006973,8517117.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,21743483.0,2011.0,P30CA006973,1999.0,2021.0,2011.0,2011P30CA006973,8810449.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,21741594.0,2011.0,P30CA006973,1999.0,2021.0,2011.0,2011P30CA006973,8810449.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
CYP17A1,target,Drug,21577233.0,2011.0,P30CA006973,1999.0,2021.0,2011.0,2011P30CA006973,8810449.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,2.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,18957947.0,2009.0,P30CA006973,1999.0,2021.0,2009.0,2009P30CA006973,15320265.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,7.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,32068491.0,2020.0,P30CA008748,1999.0,2021.0,2020.0,2020P30CA008748,13940024.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,7.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,31420248.0,2020.0,P30CA008748,1999.0,2021.0,2020.0,2020P30CA008748,13940024.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,7.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,30865549.0,2019.0,P30CA008748,1999.0,2021.0,2019.0,2019P30CA008748,13613870.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,30427533.0,2019.0,P30CA008748,1999.0,2021.0,2019.0,2019P30CA008748,13613870.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,30344307.0,2018.0,P30CA008748,1999.0,2021.0,2018.0,2018P30CA008748,13320025.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,30101644.0,2018.0,P30CA008748,1999.0,2021.0,2018.0,2018P30CA008748,13320025.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,29978216.0,2018.0,P30CA008748,1999.0,2021.0,2018.0,2018P30CA008748,13320025.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,29882250.0,2018.0,P30CA008748,1999.0,2021.0,2018.0,2018P30CA008748,13320025.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,29630978.0,2018.0,P30CA008748,1999.0,2021.0,2018.0,2018P30CA008748,13320025.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,29508246.0,2018.0,P30CA008748,1999.0,2021.0,2018.0,2018P30CA008748,13320025.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,29331381.0,2018.0,P30CA008748,1999.0,2021.0,2018.0,2018P30CA008748,13320025.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,29121144.0,2018.0,P30CA008748,1999.0,2021.0,2018.0,2018P30CA008748,13320025.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6.0,Research Program Projects and Centers
CYP17A1,target,Drug,29882250.0,2018.0,P30CA008748,1999.0,2021.0,2018.0,2018P30CA008748,13320025.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,28844792.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,28778363.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,28762529.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,28633425.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,28389510.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,28219796.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,28213364.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,27979426.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,27678453.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,27489290.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,27402060.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
CYP17A1,target,Drug,27683182.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
CYP17A1,target,Drug,27489290.0,2017.0,P30CA008748,1999.0,2021.0,2017.0,2017P30CA008748,13442482.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,27816190.0,2016.0,P30CA008748,1999.0,2021.0,2016.0,2016P30CA008748,15856394.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,8.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,27502737.0,2016.0,P30CA008748,1999.0,2021.0,2016.0,2016P30CA008748,15856394.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,8.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,26965562.0,2016.0,P30CA008748,1999.0,2021.0,2016.0,2016P30CA008748,15856394.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,8.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,26685010.0,2016.0,P30CA008748,1999.0,2021.0,2016.0,2016P30CA008748,15856394.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,8.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,26609008.0,2016.0,P30CA008748,1999.0,2021.0,2016.0,2016P30CA008748,15856394.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,8.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,26508309.0,2016.0,P30CA008748,1999.0,2021.0,2016.0,2016P30CA008748,15856394.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,8.0,Research Program Projects and Centers
CYP17A1,target,Drug,26965562.0,2016.0,P30CA008748,1999.0,2021.0,2016.0,2016P30CA008748,15856394.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,8.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,26151676.0,2015.0,P30CA008748,1999.0,2021.0,2015.0,2015P30CA008748,14212182.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,25985882.0,2015.0,P30CA008748,1999.0,2021.0,2015.0,2015P30CA008748,14212182.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,25800753.0,2015.0,P30CA008748,1999.0,2021.0,2015.0,2015P30CA008748,14212182.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,25624432.0,2015.0,P30CA008748,1999.0,2021.0,2015.0,2015P30CA008748,14212182.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,25593303.0,2015.0,P30CA008748,1999.0,2021.0,2015.0,2015P30CA008748,14212182.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,5.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,24647231.0,2014.0,P30CA008748,1999.0,2021.0,2014.0,2014P30CA008748,14112088.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4.0,Research Program Projects and Centers
CYP17A1,target,Drug,24647231.0,2014.0,P30CA008748,1999.0,2021.0,2014.0,2014P30CA008748,14112088.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,23816964.0,2013.0,P30CA008748,1999.0,2021.0,2013.0,2013P30CA008748,14622526.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,23228172.0,2013.0,P30CA008748,1999.0,2021.0,2013.0,2013P30CA008748,14622526.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4.0,Research Program Projects and Centers
CYP17A1,target,Drug,23288701.0,2013.0,P30CA008748,1999.0,2021.0,2013.0,2013P30CA008748,14622526.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,30865549.0,2019.0,P30CA014236,1999.0,2021.0,2019.0,2019P30CA014236,6027879.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,29590007.0,2018.0,P30CA014599,1999.0,2021.0,2018.0,2018P30CA014599,4711102.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,4.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,27993966.0,2017.0,P30CA015704,1999.0,2021.0,2017.0,2017P30CA015704,10559632.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,25336698.0,2014.0,P30CA016056,1999.0,2021.0,2014.0,2014P30CA016056,4749131.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6.0,Research Program Projects and Centers
abiraterone acetate,Drug,Drug,24847527.0,2014.0,P30CA016056,1999.0,2021.0,2014.0,2014P30CA016056,4749131.0,P30,CA,NCI,National Cancer Institute,National Cancer Institute,6.0,Research Program Projects and Centers
